Team Name,Short Name,Full Name,Logo,Conference,League,City,State
AUSTRIA,Austria,Austria Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/i5crt79iv2e4yqjp.png?max_width=32,Pool E,World Lacrosse,,
SWEDEN,Sweden,Sweden Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/5big4kco1w4zh7c8.png?max_width=32,Pool C,World Lacrosse,,
CZECH-REPUBLIC,Czech Republic,Czech Republic Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/hhayempubt7t4298.png?max_width=32,Pool C,World Lacrosse,,
HONG-KONG,Hong Kong,Hong Kong Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/o11w7nz86wqe4oz5.png?max_width=32,Pool E,World Lacrosse,,
POLAND,Poland,Poland Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/m50m8h4eoettgn8b.png?max_width=32,Pool D,World Lacrosse,,
FRANCE,France,France Men's National Team,https://api.fifa.com/api/v3/picture/flags-sq-2/FRA,Pool B,World Lacrosse,,
DENMARK,Denmark,Denmark Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/c4lyum7vmqrh968l.png?max_width=32,Pool B,World Lacrosse,,
KOREA-REPUBLIC,South Korea,South Korea Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/r11pzp4sbw26yo27.png?max_width=32,Pool F,World Lacrosse,,
MEXICO,Mexico,Mexico Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/0uo2cgo7n1wgcvl5.png?max_width=32,Pool E,World Lacrosse,,
PERU,Peru,Peru Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/dc0kqy6cobfk34er.png?max_width=32,Pool F,World Lacrosse,,
UGANDA,Uganda,Uganda Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/jw2f4f6w2hkgv7jo.png?max_width=32,Pool B,World Lacrosse,,
Atlas,Atlas,Atlas Lacrosse Club,https://premierlacrosseleague.com/wp-content/uploads/2023/03/Atlas_Primary_FullColor.png,Any,PLL,,
Redwoods,Redwoods,Redwoods Lacrosse Club,https://premierlacrosseleague.com/wp-content/uploads/2023/03/Redwoods_Primary_FullColor.png,Any,PLL,,
Cannons,Cannons,Cannons Lacrosse Club,https://premierlacrosseleague.com/wp-content/uploads/2023/03/Cannons_Primary_FullColor.png,Any,PLL,,
Archers,Archers,Archers Lacrosse Club,https://premierlacrosseleague.com/wp-content/uploads/2023/03/Archers_Primary_FullColor.png,Any,PLL,,
Chaos,Chaos,Chaos Lacrosse Club,https://premierlacrosseleague.com/wp-content/uploads/2023/03/Chaos_Primary_FullColor.png,Any,PLL,,
Whipsnakes,Whipsnakes,Whipsnakes Lacrosse Club,https://premierlacrosseleague.com/wp-content/uploads/2023/03/Whipsnakes_Primary_FullColor.png,Any,PLL,,
Waterdogs,Waterdogs,Waterdogs Lacrosse Club,https://premierlacrosseleague.com/wp-content/uploads/2023/03/Waterdogs_Primary_FullColor.png,Any,PLL,,
Chrome,Chrome,Chrome Lacrosse Club,https://premierlacrosseleague.com/wp-content/uploads/2023/03/Chrome_Primary_FullColor.png,Any,PLL,,
FIREWOLVES,FireWolves,Albany FireWolves,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/49_72.png,East,NLL,Albany,NY
BANDITS,Bandits,Buffalo Bandits,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/9.png,East,NLL,Buffalo,NY
SWARM,Swarm,Georgia Swarm,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/39_72.png,East,NLL,Duluth,GA
THUNDERBIRDS,Thunderbirds,Halifax Thunderbirds,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/44.png,East,NLL,Halifax,NS
RIPTIDE,Riptide,New York Riptide,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/45.png,East,NLL,Uniondale,NY
WINGS,Wings,Philadelphia Wings,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/41.png,East,NLL,Philadelphia,PA
KNIGHTHAWKS,Knighthawks,Rochester Knighthawks,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/46.png,East,NLL,Rochester,NY
ROCK,Rock,Toronto Rock,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/15.png,East,NLL,Hamilton,ON
