Team Name,Short Name,Full Name,Logo,Conference,League,City,State
Young-Harris,Young Harris,Young Harris,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/young-harris.svg,Peach Belt,NCAA MD2,Young Harris,GA
D'Youville,D'Youville,D'Youville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/dyouville.svg,East Coast,NCAA MD2,Buffalo,NY
Dist.-Columbia,District of Columbia,District of Columbia,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/dist-columbia.svg,East Coast,NCAA MD2,Washington,D.C.
Frostburg-St.,Frostburg State,Frostburg State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/frostburg-st.svg,East Coast,NCAA MD2,Frostburg,MD
Mercy,Mercy,Mercy,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mercy.svg,East Coast,NCAA MD2,Dobbs Ferry,NY
Molloy,Molloy,Molloy,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/molloy.svg,East Coast,NCAA MD2,Rockville Centre,NY
New-York-Institute-Of-Technolog,NYIT,NYIT,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/nyit.svg,East Coast,NCAA MD2,Old Westbury,NY
Roberts-Wesleyan,Roberts Wesleyan,Roberts Wesleyan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/roberts-wesleyan.svg,East Coast,NCAA MD2,North Chili,NY
St.-Thomas-Aquinas,St. Thomas Aquinas,St. Thomas Aquinas,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-thomas-aquinas.svg,East Coast,NCAA MD2,Sparkill,NY
Davenport,Davenport,Davenport,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/davenport.svg,GLVC,NCAA MD2,Grand Rapids,MI
Lewis,Lewis,Lewis,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lewis.svg,GLVC,NCAA MD2,Romeoville,IL
Maryville-(MO),Maryville,Maryville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/maryville-mo.svg,GLVC,NCAA MD2,St. Louis,MO
Quincy,Quincy,Quincy,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/quincy.svg,GLVC,NCAA MD2,Quincy,IL
Rockhurst,Rockhurst,Rockhurst,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/rockhurst.svg,GLVC,NCAA MD2,Kansas City,MO
UIndy,UIndy,UIndy,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/indianapolis.svg,GLVC,NCAA MD2,Indianapolis,IN
Alderson-Broaddus,Alderson Broaddus,Alderson Broaddus,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/alderson-broaddus.svg,GMAC,NCAA MD2,Philippi,WV
Davis-&-Elkins,Davis & Elkins,Davis & Elkins,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/davis-elkins.svg,GMAC,NCAA MD2,Elkins,WV
Lake-Erie,Lake Erie,Lake Erie,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lake-erie.svg,GMAC,NCAA MD2,Painesville,OH
Mercyhurst,Mercyhurst,Mercyhurst,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mercyhurst.svg,GMAC,NCAA MD2,Erie,PA
Seton-Hill,Seton Hill,Seton Hill,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/seton-hill.svg,GMAC,NCAA MD2,Greensburg,PA
Walsh,Walsh,Walsh,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/walsh.svg,GMAC,NCAA MD2,North Canton,OH
Wheeling,Wheeling,Wheeling,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wheeling-jesuit.svg,GMAC,NCAA MD2,Wheeling,WV
Virginia-St.,Virginia State,Virginia State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia-st.svg,Independent,NCAA MD2,Ettrick,VA
Adelphi,Adelphi,Adelphi,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/adelphi.svg,NE-10,NCAA MD2,Garden City,NY
American-Int'l,American Int'l,American Int'l,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/american-intl.svg,NE-10,NCAA MD2,Springfield,MA
Assumption,Assumption,Assumption,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/assumption.svg,NE-10,NCAA MD2,Worcester,MA
Bentley,Bentley,Bentley,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bentley.svg,NE-10,NCAA MD2,Waltham,MA
Franklin-Pierce,Franklin Pierce,Franklin Pierce,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/franklin-pierce.svg,NE-10,NCAA MD2,Rindge,NH
Le-Moyne,Le Moyne,Le Moyne,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/le-moyne.svg,NE-10,NCAA MD2,Syracuse,NY
Pace,Pace,Pace,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/pace.svg,NE-10,NCAA MD2,Pleasantville,NY
Saint-Michael's,Saint Michael's,Saint Michael's,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-michaels.svg,NE-10,NCAA MD2,Colchester,VT
Saint-Rose,Saint Rose,Saint Rose,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-rose.svg,NE-10,NCAA MD2,Albany,NY
Saint-Rose,Saint Rose,Saint Rose,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-rose.svg,NE-10,NCAA WD2,Albany,NY
Southern-N.H.,Southern NH,Southern NH,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-nh.svg,NE-10,NCAA MD2,Manchester,NH
St.-Anselm,St. Anselm,St. Anselm,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-anselm.svg,NE-10,NCAA MD2,Goffstown,NH
Alabama-Huntsville,Alabama Huntsville,Alabama Huntsville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ala-huntsville.svg,Peach Belt,NCAA MD2,Huntsville,AL 
Flagler,Flagler,Flagler,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/flagler.svg,Peach Belt,NCAA MD2,St. Augustine,FL
Lander,Lander,Lander,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lander.svg,Gulf South,NCAA WD2,Greenwood,SC
Lander,Lander,Lander,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lander.svg,Peach Belt,NCAA MD2,Greenwood,SC
Montevallo,Montevallo,Montevallo,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/montevallo.svg,Peach Belt,NCAA MD2,Montevallo,AL 
Shorter,Shorter,Shorter,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/shorter.svg,Peach Belt,NCAA MD2,Rome,GA
Adams-St.,Adams State,Adams State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/adams-st.svg,RMAC,NCAA MD2,Alamosa,CO
Colorado-Mesa,Colorado Mesa,Colorado Mesa,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado-mesa.svg,RMAC,NCAA MD2,Grand Junction,CO
CSU-Pueblo,CSU Pueblo,CSU Pueblo,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado-st-pueblo.svg,RMAC,NCAA MD2,Pueblo,CO
Westminster-(UT),Westminster (UT),Westminster (UT),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/westminster-ut.svg,RMAC,NCAA MD2,Salt Lake City,UT
Anderson-(IN),Anderson (IN),Anderson (IN),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/anderson-in.svg,Heartland,NCAA MD3,Anderson,SC
Catawba,Catawba,Catawba,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/catawba.svg,SAC,NCAA MD2,Salisbury,NC
Coker,Coker,Coker,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/coker.svg,SAC,NCAA MD2,Hartsville,SC
Lenoir-Rhyne,Lenoir Rhyne,Lenoir Rhyne,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lenoir-rhyne.svg,SAC,NCAA MD2,Hickory,NC
Limestone,Limestone,Limestone,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/limestone.svg,SAC,NCAA MD2,Gaffney,SC
Lincoln-Memorial,Lincoln Memorial,Lincoln Memorial,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lincoln-memorial.svg,SAC,NCAA MD2,Harrogate,TN
Mars-Hill,Mars Hill,Mars Hill,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mars-hill.svg,SAC,NCAA MD2,Mars Hill,NC
Newberry,Newberry,Newberry,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/newberry.svg,SAC,NCAA MD2,Newberry,SC
Tusculum,Tusculum,Tusculum,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tusculum.svg,SAC,NCAA MD2,Greeneville,TN
Wingate,Wingate,Wingate,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wingate.svg,SAC,NCAA MD2,Wingate,NC
Embry-Riddle-(FL),Embry Riddle,Embry Riddle,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/embry-riddle-fl.svg,Sunshine State,NCAA MD2,Daytona Beach,FL
Fla.-Southern,Florida Southern,Florida Southern,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/fla-southern.svg,Sunshine State,NCAA MD2,Lakeland,FL
Florida-Tech,Florida Tech,Florida Tech,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-tech.svg,Sunshine State,NCAA MD2,Melbourne,FL
Lynn,Lynn,Lynn,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lynn.svg,Sunshine State,NCAA MD2,Boca Raton,FL
Palm-Beach-Atl.,Palm Beach Atlantic,Palm Beach Atlantic,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/palm-beach-atl.svg,Sunshine State,NCAA MD2,West Palm Beach,FL
Rollins,Rollins,Rollins,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/rollins.svg,Sunshine State,NCAA MD2,Winter Park,FL
Saint-Leo,Saint Leo,Saint Leo,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-leo.svg,Sunshine State,NCAA MD2,St. Leo,FL
Tampa,Tampa,Tampa,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tampa.svg,Sunshine State,NCAA MD2,Tampa,FL
Cabrini,Cabrini,Cabrini,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/cabrini.svg,Atlantic East,NCAA MD3,,
Centenary-(NJ),Centenary (NJ),Centenary (NJ),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/centenary-nj.svg,Atlantic East,NCAA MD3,,
Gwynedd-Mercy,Gwynedd Mercy,Gwynedd Mercy,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/gwynedd-mercy.svg,Atlantic East,NCAA MD3,,
Immaculata,Immaculata,Immaculata,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/immaculata.svg,Atlantic East,NCAA MD3,,
Marymount-(VA),Marymount,Marymount,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/marymount-va.svg,Atlantic East,NCAA MD3,,
Marywood,Marywood,Marywood,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/marywood.svg,Atlantic East,NCAA MD3,,
Neumann,Neumann,Neumann,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/neumann.svg,Atlantic East,NCAA MD3,,
Curry,Curry,Curry,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/curry.svg,CCC,NCAA MD3,,
Endicott,Endicott,Endicott,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/endicott.svg,CCC,NCAA MD3,,
Gordon,Gordon,Gordon,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/gordon.svg,CCC,NCAA MD3,,
Nichols,Nichols,Nichols,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/nichols.svg,CCC,NCAA MD3,,
Roger-Williams,Roger Williams,Roger Williams,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/roger-williams.svg,CCC,NCAA MD3,,
Salve-Regina,Salve Regina,Salve Regina,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/salve-regina.svg,CCC,NCAA MD3,,
U-New-England,U New England,U New England,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/u-new-england.svg,CCC,NCAA MD3,,
Wentworth,Wentworth,Wentworth,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wentworth.svg,CCC,NCAA MD3,,
Western-New-Eng.,Western New Eng.,Western New Eng.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/western-new-eng.svg,CCC,NCAA MD3,,
Augustana-(IL),Augustana,Augustana,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/augustana-il.svg,CCIW,NCAA MD3,,
Carroll-(WI),Carroll (WI),Carroll (WI),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/carroll-wi.svg,CCIW,NCAA MD3,,
Carthage,Carthage,Carthage,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/carthage.svg,CCIW,NCAA MD3,,
Elmhurst,Elmhurst,Elmhurst,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/elmhurst.svg,CCIW,NCAA MD3,,
Ill.-Wesleyan,Illinois Wesleyan,Illinois Wesleyan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ill-wesleyan.svg,CCIW,NCAA MD3,,
North-Central-(IL),North Central,North Central,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/north-central-il.svg,CCIW,NCAA MD3,,
Transylvania,Transylvania,Transylvania,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/transylvania.svg,CCIW,NCAA MD3,,
Piedmont,Piedmont,Piedmont,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/piedmont.svg,CCS,NCAA MD3,,
Dickinson,Dickinson,Dickinson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/dickinson.svg,Centennial,NCAA MD3,,
Franklin-&-Marshall,Franklin & Marshall,Franklin & Marshall,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/franklin-marshall.svg,Centennial,NCAA MD3,,
Gettysburg,Gettysburg,Gettysburg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/gettysburg.svg,Centennial,NCAA MD3,,
Haverford,Haverford,Haverford,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/haverford.svg,Centennial,NCAA MD3,,
McDaniel,McDaniel,McDaniel,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mcdaniel.svg,Centennial,NCAA MD3,,
Muhlenberg,Muhlenberg,Muhlenberg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/muhlenberg.svg,Centennial,NCAA MD3,,
Swarthmore,Swarthmore,Swarthmore,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/swarthmore.svg,Centennial,NCAA MD3,,
Ursinus,Ursinus,Ursinus,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ursinus.svg,Centennial,NCAA MD3,,
Washington-Col.,Washington College,Washington College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/washington-col.svg,Centennial,NCAA MD3,,
Chris.-Newport,Chris. Newport,Christopher Newport,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/chris-newport.svg,CLC,NCAA MD3,,
Kean,Kean,Kean,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/kean.svg,CLC,NCAA MD3,,
Mary-Washington,Mary Washington,Mary Washington,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mary-washington.svg,CLC,NCAA MD3,,
Montclair-St.,Montclair State,Montclair State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/montclair-st.svg,CLC,NCAA MD3,,
Salisbury,Salisbury,Salisbury,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/salisbury.svg,CLC,NCAA MD3,,
Stockton,Stockton,Stockton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/stockton.svg,CLC,NCAA MD3,,
Bryn-Athyn,Bryn Athyn,Bryn Athyn,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bryn-athyn.svg,CSAC,NCAA MD3,,
Cairn,Cairn,Cairn,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/cairn.svg,CSAC,NCAA MD3,,
Eastern-Nazarene,Eastern Nazarene,Eastern Nazarene,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-nazarene.svg,CSAC,NCAA MD3,,
Keystone,Keystone,Keystone,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/keystone.svg,CSAC,NCAA MD3,,
Mitchell,Mitchell,Mitchell,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mitchell.svg,CSAC,NCAA MD3,,
New-England-Col.,New England Col.,New England Col.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/new-england-col.svg,CSAC,NCAA MD3,,
Rosemont,Rosemont,Rosemont,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/rosemont.svg,CSAC,NCAA MD3,,
Alfred,Alfred,Alfred,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/alfred.svg,Empire 8,NCAA MD3,,
Hartwick,Hartwick,Hartwick,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hartwick.svg,Empire 8,NCAA MD3,,
Keuka,Keuka,Keuka,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/keuka.svg,Empire 8,NCAA MD3,,
Medaille,Medaille,Medaille,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/medaille.svg,Empire 8,NCAA MD3,,
Nazareth,Nazareth,Nazareth,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/nazareth.svg,Empire 8,NCAA MD3,,
Russell-Sage,Russell Sage,Russell Sage,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/russell-sage.svg,Empire 8,NCAA MD3,,
St.-John-Fisher,St. John Fisher,St. John Fisher,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-john-fisher.svg,Empire 8,NCAA MD3,,
Utica,Utica,Utica,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/utica.svg,Empire 8,NCAA MD3,,
Albertus-Magnus,Albertus Magnus,Albertus Magnus,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/albertus-magnus.svg,GNAC,NCAA MD3,,
Anna-Maria,Anna Maria,Anna Maria,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/anna-maria.svg,GNAC,NCAA MD3,,
Dean,Dean,Dean,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/dean.svg,GNAC,NCAA MD3,,
Emmanuel-(MA),Emmanuel (MA),Emmanuel (MA),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/emmanuel-ma.svg,GNAC,NCAA MD3,,
JWU-(Providence),Johnson & Wales,Johnson & Wales,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/jwu-providence.svg,GNAC,NCAA MD3,,
Lasell,Lasell,Lasell,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lasell.svg,GNAC,NCAA MD3,,
Norwich,Norwich,Norwich,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/norwich.svg,GNAC,NCAA MD3,,
Regis-(MA),Regis (MA),Regis (MA),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/regis-ma.svg,GNAC,NCAA MD3,,
Rivier,Rivier,Rivier,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/rivier.svg,GNAC,NCAA MD3,,
Saint-Joseph-(CT),Saint Joseph (CT),Saint Joseph (CT),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-joseph-ct.svg,GNAC,NCAA MD3,,
St.-Joseph's-(ME),St. Joseph's (ME),St. Joseph's (ME),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-joseph's-me.svg,GNAC,NCAA MD3,,
Anderson-(SC),Anderson (SC),Anderson (SC),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/anderson-sc.svg,SAC,NCAA MD2,,
Centenary-(LA),Centenary (LA),Centenary (LA),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/centenary-la.svg,Heartland,NCAA MD3,,
Colorado-Col.,Colorado College,Colorado College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado-col.svg,Heartland,NCAA MD3,,
Earlham,Earlham,Earlham,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/earlham.svg,Heartland,NCAA MD3,,
Hanover,Hanover,Hanover,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hanover.svg,Heartland,NCAA MD3,,
Mt.-St.-Joseph,Mount St. Joseph,Mount St. Joseph,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mt-st-joseph.svg,Heartland,NCAA MD3,,
Southwestern-(TX),Southwestern (TX),Southwestern (TX),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southwestern-tx.svg,Heartland,NCAA MD3,,
Spalding,Spalding,Spalding,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/spalding.svg,Heartland,NCAA MD3,,
Hartford,Hartford,Hartford,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hartford.svg,Independent,NCAA MD3,West Hartford,CT
Warren-Wilson,Warren Wilson,Warren Wilson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/warren-wilson.svg,Independent,NCAA MD3,,
Whittier,Whittier,Whittier,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/whittier.svg,Independent,NCAA MD3,,
Catholic,Catholic,Catholic,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/catholic.svg,Landmark,NCAA MD3,,
Drew,Drew,Drew,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/drew.svg,Landmark,NCAA MD3,,
Elizabethtown,Elizabethtown,Elizabethtown,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/elizabethtown.svg,Landmark,NCAA MD3,,
Goucher,Goucher,Goucher,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/goucher.svg,Landmark,NCAA MD3,,
Juniata,Juniata,Juniata,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/juniata.svg,Landmark,NCAA MD3,,
Moravian,Moravian,Moravian,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/moravian.svg,Landmark,NCAA MD3,,
Scranton,Scranton,Scranton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/scranton.svg,Landmark,NCAA MD3,,
Susquehanna,Susquehanna,Susquehanna,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/susquehanna.svg,Landmark,NCAA MD3,,
Clarkson,Clarkson,Clarkson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/clarkson.svg,Liberty League,NCAA MD3,,
Ithaca,Ithaca,Ithaca,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ithaca.svg,Liberty League,NCAA MD3,,
Rensselaer,Rensselaer,Rensselaer,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/rensselaer.svg,Liberty League,NCAA MD3,,
RIT,RIT,RIT,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/rit.svg,Liberty League,NCAA MD3,,
Skidmore,Skidmore,Skidmore,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/skidmore.svg,Liberty League,NCAA MD3,,
St.-Lawrence,St. Lawrence,St. Lawrence,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-lawrence.svg,Liberty League,NCAA MD3,,
Union-(NY),Union,Union,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/union-ny.svg,Liberty League,NCAA MD3,,
Vassar,Vassar,Vassar,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/vassar.svg,Liberty League,NCAA MD3,,
Castleton,Castleton,Castleton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/castleton.svg,Little East,NCAA MD3,,
Eastern-Conn.-St.,Eastern Conn. St.,Eastern Conn. St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-conn-st.svg,Little East,NCAA MD3,,
Keene-St.,Keene State,Keene State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/keene-st.svg,Little East,NCAA MD3,,
Plymouth-St.,Plymouth State,Plymouth State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/plymouth-st.svg,Little East,NCAA MD3,,
Salem-St.,Salem State,Salem State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/salem-st.svg,Little East,NCAA MD3,,
Southern-Me.,Southern Maine,Southern Maine,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-me.svg,Little East,NCAA MD3,,
UMass-Boston,UMass Boston,UMass Boston,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/umass-boston.svg,Little East,NCAA MD3,,
Mass.-Maritime,UMass Maritime,UMass Maritime,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mass-maritime.svg,Little East,NCAA MD3,,
WestConn,West Conn,West Conn,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/westconn.svg,Little East,NCAA MD3,,
Adrian,Adrian,Adrian,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/adrian.svg,MIAA,NCAA MD3,,
Albion,Albion,Albion,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/albion.svg,MIAA,NCAA MD3,,
Alma,Alma,Alma,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/alma.svg,MIAA,NCAA MD3,,
Calvin,Calvin,Calvin,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/calvin.svg,MIAA,NCAA MD3,,
Hope,Hope,Hope,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hope.svg,MIAA,NCAA MD3,,
Kalamazoo,Kalamazoo,Kalamazoo,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/kalamazoo.svg,MIAA,NCAA MD3,,
Trine,Trine,Trine,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/trine.svg,MIAA,NCAA MD3,,
Albright,Albright,Albright,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/albright.svg,MAC-C,NCAA MD3,,
Alvernia,Alvernia,Alvernia,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/alvernia.svg,MAC-C,NCAA MD3,,
Arcadia,Arcadia,Arcadia,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/arcadia.svg,MAC-F,NCAA MD3,,
Delaware-Valley,Delaware Valley,Delaware Valley,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/delaware-valley.svg,MAC-F,NCAA MD3,,
DeSales,DeSales,DeSales,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/desales.svg,MAC-F,NCAA MD3,,
